"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","gene_name","gene_symbol"
"100287102",26.1877027034317,0.698044600587794,0.833787332591521,0.837197416298205,0.402481609543837,0.700416866481765,"ENSG00000290825","DEAD/H-box helicase 11 like 1 (pseudogene)","DDX11L1"
"653635",328.170549821492,0.471236725331964,0.407903906159026,1.1552640664055,0.247982306193642,0.549811259347946,NA,"WASP family homolog 7, pseudogene","WASH7P"
"102466751",2.37594579644043,-2.76619383022567,2.39898047813117,-1.15307058787763,0.248881412732819,NA,"ENSG00000278267","microRNA 6859-1","MIR6859-1"
"100996442",117.243233320545,-0.427951318197121,0.589475333929918,-0.725986811600839,0.46784685557341,0.747392755302751,NA,"WAS protein family homolog 9, pseudogene","WASH9P"
"729737",3102.87278436394,0.0912266193476819,0.393244589291309,0.231984423516385,0.816550112051413,0.933744456844137,NA,"uncharacterized LOC729737","LOC729737"
"102725121",30.3531144184482,0.585962035141834,0.772430842757211,0.758594818728662,0.448094973074219,0.734254362347269,"ENSG00000290825","DEAD/H-box helicase 11 like 17 (pseudogene)","DDX11L17"
"102723897",316.313813277783,0.404426951548067,0.417185599462356,0.969417333841982,0.33233700723794,0.633798095384708,NA,"WAS protein family homolog 9, pseudogene","LOC102723897"
"112268260",10.5855487292467,-0.854590847496315,1.13055874932626,-0.755901316942259,0.449708364318531,NA,NA,"uncharacterized LOC112268260","LOC112268260"
"100132287",878.816977926259,-0.140794826874244,0.388822336449887,-0.362105809454675,0.71727296250983,0.890251753412962,NA,"uncharacterized LOC100132287","LOC100132287"
"113219467",93.4353642630442,0.595011376355504,0.505261862694695,1.17762970112597,0.238944263697417,0.540249910618094,"ENSG00000210151","microRNA 12136","MIR12136"
"81399",7.096723520049,-1.53952622013728,1.37230042940716,-1.12185800364601,0.261922819284858,NA,"ENSG00000284662","olfactory receptor family 4 subfamily F member 16","OR4F16"
"100133331",639.102200022488,-0.203850536510741,0.402557999202337,-0.506387991083691,0.612584303256095,0.840177334161053,NA,NA,NA
"107984841",73.7769134737021,-0.485212284998022,0.582332411577168,-0.833222186077349,0.404719432292225,0.701897242712373,NA,NA,NA
"107984847",98.9525361812584,-0.534366134080144,0.570018809051035,-0.937453511349484,0.348525326320017,0.649969367552669,NA,NA,NA
"107984849",64.040266510293,-0.422318406032606,0.553257587369244,-0.763330527540965,0.445266300431287,0.732185768071787,NA,NA,NA
"100288069",60.9553608196081,-0.790253959290499,0.657799530011677,-1.20135987217332,0.229611634865272,0.530813209118194,NA,"uncharacterized LOC100288069","LOC100288069"
"105378580",13.028596545058,0.375549587750408,0.964680109182946,0.389299607378125,0.697054526710475,NA,"ENSG00000237491","long intergenic non-protein coding RNA 1409","LINC01409"
"400728",5.85800682911313,0.754753655553151,1.38159563393321,0.546291285970897,0.584865725246854,NA,"ENSG00000177757","family with sequence similarity 87 member B","FAM87B"
"79854",9.9011548582043,1.30084386304386,1.30632342630978,0.995805354818292,0.319344728004417,NA,NA,"long intergenic non-protein coding RNA 115","LINC00115"
"643837",49.9192110196611,-0.690701183153768,0.582769265772797,-1.18520523253375,0.2359363116028,0.538046520026375,"ENSG00000228794","long intergenic non-protein coding RNA 1128","LINC01128"
"148398",31.9146176017128,-0.464312855167516,0.682529392355539,-0.680282578842626,0.496325553184066,0.768108229096771,"ENSG00000187634","sterile alpha motif domain containing 11","SAMD11"
"26155",357.760801217815,-0.589197821137565,0.435770795556803,-1.35208193652519,0.176349105149494,0.463602903115764,"ENSG00000188976","NOC2 like nucleolar associated transcriptional repressor","NOC2L"
"339451",45.5038226379258,0.0322480033912003,0.609101131431879,0.0529435946299944,0.957776849590979,0.988215299300288,"ENSG00000187961","kelch like family member 17","KLHL17"
"84069",8.479540820184,-0.091390244134244,1.16095627056463,-0.0787197988859617,0.937255497114371,NA,"ENSG00000187583","pleckstrin homology domain containing N1","PLEKHN1"
"57801",37.5546353167152,0.931174645517436,0.660764481714877,1.40923834631784,0.158764702511746,0.437863229030333,"ENSG00000188290","hes family bHLH transcription factor 4","HES4"
"9636",864.806672797074,-1.33514286465768,0.443052006920593,-3.01351273395083,0.00258242203368994,0.0340838120409439,"ENSG00000187608","ISG15 ubiquitin like modifier","ISG15"
"375790",52.8529500291566,-1.08178741854315,0.598856716025713,-1.80642111809714,0.0708525853582828,0.278692669760715,"ENSG00000188157","agrin","AGRN"
"112267874",3.79905577840982,0.80679981340853,1.85739230305484,0.434372325158015,0.664018091061253,NA,NA,NA,NA
"105378948",4.4115366052498,-1.00555562591576,1.59079725305122,-0.632107972268034,0.527316326146856,NA,NA,"uncharacterized LOC105378948","LOC105378948"
