Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl_id,gene_name,gene_symbol
9636,864.806672797074,-1.33514286465768,0.443052006920593,-3.01351273395083,0.0025824220336899,0.0340838120409439,ENSG00000187608,ISG15 ubiquitin like modifier,ISG15
126792,99.9153060955699,-2.87929301047333,0.616339702635,-4.67160073927358,2.98861459633532e-06,0.000210398467582,ENSG00000176022,"beta-1,3-galactosyltransferase 6",B3GALT6
80772,177.64455578094,-1.62060416728642,0.505548311004214,-3.20563659695999,0.001347640662146,0.0212822213658393,ENSG00000224051,ceramide-1-phosphate transfer protein,CPTP
643988,33.1522558357876,-3.0683211975337,0.823989370606135,-3.72373880900504,0.000196294007796,0.0051992646500587,ENSG00000228594,fibronectin type III domain containing 10,FNDC10
728661,610.069342821773,-1.30512234847798,0.388428328811849,-3.36000814479773,0.0007794017473383,0.014261665899313,ENSG00000189339,solute carrier family 35 member E2B,SLC35E2B
65220,2629.91083553857,-1.64184272605899,0.366857898379574,-4.47541877471107,7.62616876296155e-06,0.0004394438549583,ENSG00000008130,NAD kinase,NADK
6497,668.110423138864,-1.52265773576619,0.525917983390046,-2.89523801021444,0.0037887114399726,0.0437206887916864,ENSG00000157933,SKI proto-oncogene,SKI
23463,115.825408791367,-2.18980417580069,0.488762962128758,-4.48029892908255,7.45385706841068e-06,0.0004316138188184,ENSG00000116237,isoprenylcysteine carboxyl methyltransferase,ICMT
387509,54.5738727337546,-2.69732805746601,0.666258212996466,-4.04847250637993,5.15529886684798e-05,0.0019261809397474,ENSG00000158292,G protein-coupled receptor 153,GPR153
9563,412.458185584189,-1.46434528058999,0.414927641477264,-3.5291581813554,0.0004168838680313,0.0092474935634937,ENSG00000049239,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,H6PD
90231,958.065312505874,-1.30025483208934,0.420739052965994,-3.0904068042251,0.0019988252154252,0.0284731481166431,ENSG00000116685,KIAA2013,KIAA2013
5351,460.845164425904,-1.38294864007108,0.398308564612282,-3.47205348551131,0.0005164934231926,0.0106944520566959,ENSG00000083444,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",PLOD1
9249,295.778142260088,1.78359559296355,0.412274727208793,4.32623072735736,1.51682541840506e-05,0.0007542400296128,ENSG00000162496,dehydrogenase/reductase 3,DHRS3
23254,74.4421259116531,-1.65272631683854,0.544586428373134,-3.03482832243138,0.0024067264090112,0.0322892401674371,ENSG00000189337,"kazrin, periplakin interacting protein",KAZN
1969,24.2401368201137,-3.47157592757825,0.985282715974407,-3.52343126626858,0.0004259975729853,0.0093873863859172,ENSG00000142627,EPH receptor A2,EPHA2
23400,272.542631320681,-1.59493827745667,0.472120872354474,-3.37824140140784,0.0007295100976467,0.0135715258221459,ENSG00000159363,ATPase cation transporting 13A2,ATP13A2
